Series Name	Series Code	Country Name	Country Code	1960 [YR1960]	1961 [YR1961]	1962 [YR1962]	1963 [YR1963]	1964 [YR1964]	1965 [YR1965]	1966 [YR1966]	1967 [YR1967]	1968 [YR1968]	1969 [YR1969]	1970 [YR1970]	1971 [YR1971]	1972 [YR1972]	1973 [YR1973]	1974 [YR1974]	1975 [YR1975]	1976 [YR1976]	1977 [YR1977]	1978 [YR1978]	1979 [YR1979]	1980 [YR1980]	1981 [YR1981]	1982 [YR1982]	1983 [YR1983]	1984 [YR1984]	1985 [YR1985]	1986 [YR1986]	1987 [YR1987]	1988 [YR1988]	1989 [YR1989]	1990 [YR1990]	1991 [YR1991]	1992 [YR1992]	1993 [YR1993]	1994 [YR1994]	1995 [YR1995]	1996 [YR1996]	1997 [YR1997]	1998 [YR1998]	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Austria	AUT	18.51960858	18.92313529	19.33258963	19.75015875	20.17568838	20.60906166	21.11390049	21.59431728	22.03762269	22.42274708	22.73707672	23.12650448	23.41177399	23.60450617	23.72066656	23.76835942	23.98247334	24.14172445	24.18886603	24.03284957	23.63813572	23.19856786	22.53534621	21.80432758	21.21210213	20.86701312	20.8697964	21.06779515	21.37966658	21.67996721	21.89561527	22.18767117	22.41194856	22.56660335	22.64559734	22.64008285	22.73367104	22.73903209	22.69928383	22.6746251	22.70468053	22.86500217	23.04894996	23.27027972	23.54397621	23.87896675	24.34005989	24.85634986	25.39598399	25.91049787	26.37386099	26.77489892	27.12963822	27.45941863	27.78102631	28.103528	28.45172974	28.78495283
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Belgium	BEL	18.37622191	18.72563537	19.03277057	19.30923862	19.57414073	19.84030714	20.21686614	20.56646058	20.87935801	21.13732108	21.33106512	21.62054503	21.81884987	21.94232011	22.01308577	22.04287475	22.22920446	22.38537359	22.45918273	22.36883545	22.08277959	21.82188331	21.37557713	20.87698717	20.50631495	20.35982789	20.57447449	20.96923554	21.46749408	21.94994416	22.34788769	22.79571496	23.16563941	23.48032417	23.77490506	24.0685078	24.46862881	24.83874187	25.17561442	25.47157318	25.72377721	25.94630507	26.12777452	26.26617792	26.34911633	26.37485618	26.3999852	26.33643251	26.24866858	26.23314984	26.35022209	26.5566529	26.87225141	27.25649551	27.63763666	27.9742851	28.4343035	28.86630954
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Bulgaria	BGR	11.42023629	11.59172451	11.78001018	11.99014573	12.22780508	12.49918998	12.81310949	13.14028386	13.48426764	13.85036747	14.24317064	14.65413612	15.05569692	15.45063281	15.8461841	16.24703674	16.71376267	17.19163512	17.61688106	17.88626904	17.95014143	17.84751405	17.53531739	17.15574882	16.90699001	16.89849759	17.27915006	17.8513563	18.5315468	19.19237069	19.76187265	20.44768339	21.03732262	21.55759452	22.05341387	22.54918205	23.06490963	23.55257878	23.98304945	24.30586541	24.49202402	24.79363178	24.97322231	25.06009674	25.09962665	25.12822733	25.32550518	25.49671562	25.69213865	25.98261561	26.41282326	27.0983878	27.91221043	28.80123113	29.67108825	30.45718097	31.29073826	32.01988801
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Croatia	HRV	10.57164342	10.82360658	11.09658138	11.3799122	11.65995113	11.93330253	12.33778302	12.7094508	13.06861633	13.44474458	13.85423376	14.36312144	14.88767719	15.40439579	15.87527904	16.27725618	16.65257229	16.97132635	17.2044765	17.29965289	17.23358666	16.98954517	16.58600181	16.12929665	15.75744005	15.54685635	15.63778788	15.85261404	16.15986344	16.50769541	16.86558925	17.50820122	18.15734101	18.81371564	19.48200423	20.1634616	20.8318749	21.46873864	22.07525886	22.65077439	23.19342148	23.87641707	24.53105521	25.1060457	25.52005641	25.73418714	25.9339855	25.96625001	25.93544555	25.98790217	26.21010111	26.50797652	26.9041272	27.38570807	27.9199975	28.48620197	29.25654606	30.07319847
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Czech Republic	CZE	14.4137161	14.73339844	15.04204848	15.34866991	15.66556363	16.00196889	16.4583559	16.90250603	17.3356688	17.75787763	18.17055446	18.63434128	19.04616356	19.42517657	19.79874052	20.17475547	20.69150907	21.22319659	21.64664377	21.77270629	21.51167472	21.06712224	20.25528526	19.30715681	18.53034774	18.0816475	18.13912185	18.43686798	18.83961262	19.15474737	19.28092245	19.5121693	19.58438196	19.54787242	19.47320914	19.3989339	19.54928413	19.69256302	19.80429043	19.8396955	19.77997498	19.80323213	19.74409348	19.66150366	19.6360298	19.71732066	19.99146613	20.34207882	20.77826609	21.31287598	21.95471799	22.81582051	23.77847577	24.81527769	25.87233431	26.90783279	27.9757266	29.00486672
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Denmark	DNK	16.51766822	16.74639615	16.96075003	17.16712627	17.37368404	17.58898112	17.89237375	18.18767148	18.48234202	18.7818721	19.08937397	19.50199614	19.90133567	20.28301813	20.6383709	20.9631889	21.32527348	21.6405769	21.90776778	22.12164175	22.28202534	22.45830063	22.56086135	22.61679276	22.66272765	22.72049829	22.86035318	22.99133496	23.09831135	23.15711817	23.15772545	23.13516966	23.05180751	22.92481003	22.7726726	22.60784926	22.57070433	22.5122644	22.44020226	22.35916077	22.27726777	22.35911115	22.43270642	22.52765662	22.68164401	22.91718818	23.32492784	23.78310939	24.29587261	24.86602364	25.49256758	26.14035885	26.9311489	27.86630964	28.83720418	29.71083642	30.37265274	30.82396618
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Finland	FIN	11.76908652	11.92868045	12.0595229	12.17444889	12.29166973	12.42549737	12.69129727	12.96023711	13.24011946	13.5409201	13.86844942	14.27470037	14.6859614	15.09046203	15.47159401	15.81987588	16.2994408	16.75165045	17.15995637	17.49893385	17.75807856	17.95048966	18.05741208	18.12733191	18.22675139	18.39449269	18.66025905	18.97265486	19.31435846	19.65515212	19.97594948	20.32715516	20.65640909	20.95414469	21.20688589	21.40968449	21.6728347	21.88033365	22.05511773	22.22871996	22.42246277	22.7265421	23.05751257	23.40273962	23.73687037	24.05250503	24.32188246	24.55205555	24.83210841	25.29161569	26.00773127	26.96550218	28.15023253	29.47512964	30.78871262	31.9906494	33.07437737	34.03911761
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	France	FRA	18.64509295	18.81576178	18.94066671	19.04210635	19.15343618	19.29537848	19.58071755	19.86298153	20.1310089	20.36508845	20.5547748	20.80588704	20.98975366	21.12680596	21.24531193	21.35632618	21.61555009	21.88539348	22.07625753	22.05296462	21.75718172	21.33872009	20.6649133	19.92309836	19.36798353	19.1329401	19.27006625	19.67231797	20.22968228	20.77402486	21.20797179	21.69487519	22.09077693	22.42450055	22.74527268	23.08102029	23.43145034	23.76357075	24.06831749	24.33055528	24.54539518	24.76767162	24.95425004	25.10357115	25.20657341	25.26718216	25.3395214	25.35017846	25.38160467	25.55937604	25.96312487	26.54792961	27.34005913	28.28277638	29.25207723	30.15847865	30.96405446	31.70213482
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Germany	DEU	17.10594779	17.53226861	17.96242166	18.39831874	18.8410453	19.291586	19.80527492	20.29219035	20.75016763	21.17716053	21.5725027	22.07715813	22.51005624	22.8741155	23.17083306	23.39673337	23.7471034	24.03639987	24.19884187	24.13175983	23.79301719	23.3904659	22.7371257	21.9901377	21.35965402	20.96050431	20.84955111	20.92699056	21.13048686	21.35766219	21.54772871	21.83993241	22.10438188	22.33266157	22.51382654	22.64713817	22.97418606	23.22216843	23.46119439	23.79428481	24.28030613	24.97316435	25.79660332	26.68552445	27.5299263	28.26038543	29.03234837	29.69172313	30.2513257	30.73739045	31.17323913	31.40310761	31.55632117	31.68896925	31.86283046	32.11128777	32.40296619	32.76710185
Age dependency ratio, old (% of working-age population)	SP.POP.DPND.OL	Greece	GRC	10.74475791	10.96050558	11.16024802	11.35614966	11.56677815	11.8048748	12.47681203	13.22557012	14.05560869	14.97068298	15.97363561	16.46776397	16.94270124	17.390432	17.80651966	18.19254829	18.54485515	18.87500684	19.16575046	19.38918244	19.53433239	19.59856958	19.61133659	19.59924657	19.58872872	19.58823946	19.581404	19.61304478	19.72894332	19.96006721	20.31022671	20.48519382	20.7074458	20.97862015	21.2940898	21.65030086	22.1241408	22.60285514	23.08567867	23.56573892	24.03569972	24.63968074	25.22801968	25.77157484	26.22246239	26.55814374	26.83807073	26.98514294	27.0759704	27.22425326	27.49842686	27.94376613	28.51289966	29.16460142	29.82521343	30.45182588	30.84301404	31.19204577
