Series Name	Series Code	Country Name	Country Code	1960 [YR1960]	1961 [YR1961]	1962 [YR1962]	1963 [YR1963]	1964 [YR1964]	1965 [YR1965]	1966 [YR1966]	1967 [YR1967]	1968 [YR1968]	1969 [YR1969]	1970 [YR1970]	1971 [YR1971]	1972 [YR1972]	1973 [YR1973]	1974 [YR1974]	1975 [YR1975]	1976 [YR1976]	1977 [YR1977]	1978 [YR1978]	1979 [YR1979]	1980 [YR1980]	1981 [YR1981]	1982 [YR1982]	1983 [YR1983]	1984 [YR1984]	1985 [YR1985]	1986 [YR1986]	1987 [YR1987]	1988 [YR1988]	1989 [YR1989]	1990 [YR1990]	1991 [YR1991]	1992 [YR1992]	1993 [YR1993]	1994 [YR1994]	1995 [YR1995]	1996 [YR1996]	1997 [YR1997]	1998 [YR1998]	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Afghanistan	AFG	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Albania	ALB	..	..	..	..	..	..	..	..	..	..	..	532.0284315	568.4032016	593.4467457	591.0326434	739.3450933	908.6745473	1067.814156	1098.483166	1065.767398	1142.965355	1123.968106	1096.873229	1070.690164	1018.100288	796.3539738	1420.614795	1161.951677	1005.93953	1021.3935	552.2521848	418.453589	453.6440739	536.3638251	596.4079593	663.7839954	904.3466403	694.6648028	734.8499135	1414.703784	1449.647413	1351.230796	1578.165919	1469.264539	1797.525487	1722.07285	1218.360146	1213.124369	1617.744156	1835.684072	1943.343354	2205.70392	2118.327776	2533.252829	2309.366503	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Algeria	DZA	..	..	..	..	..	..	..	..	..	..	..	133.0872656	142.029446	157.8038762	169.6301368	194.5048024	218.7287797	231.710422	277.2847356	312.6738835	328.3221415	361.2676186	403.6314486	415.0122509	438.6619386	463.7084132	482.3746308	452.6735774	478.9867975	519.0106198	528.4349361	529.4052055	556.6369036	545.017593	548.087629	557.079781	567.70475	572.9277693	615.5776956	649.7839	680.1959744	705.9347934	727.6126435	783.0323588	800.7043079	886.9145764	858.9340106	890.8143527	943.7557434	863.0859736	1012.690836	1118.50881	1231.970092	1272.296024	1356.264554	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	American Samoa	ASM	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Andorra	AND	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Angola	AGO	..	..	..	..	..	..	..	..	..	..	..	80.26251038	88.51510832	101.4020412	123.3554062	127.4328247	55.56260811	53.99097871	52.41073252	54.62001423	56.66356846	54.73520654	56.35474939	59.10449937	48.84541409	56.93256752	55.30610326	54.10817427	53.06598038	51.91406919	51.76051053	53.13282106	52.20403991	50.73213181	49.41731995	48.14635145	50.12844051	68.32800704	72.62492939	71.53709967	75.05660874	82.43408541	85.75827128	95.4218969	87.03618776	108.6303766	143.9118833	132.6812806	171.8795813	188.9616674	206.3405781	207.0312589	219.3563555	280.402518	312.4760173	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Antigua and Barbuda	ATG	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Argentina	ARG	..	..	..	..	..	..	..	..	..	..	..	870.6237296	920.471571	956.2776728	986.1761424	1004.182495	1024.203812	1073.011152	1084.730587	1207.786268	1234.367688	1188.997905	1200.352335	1250.936267	1292.808533	1281.558396	1323.546588	1407.435813	1446.524678	1315.632828	1299.552068	1342.926737	1405.104378	1490.725095	1569.674735	1641.043156	1719.665354	1838.897611	1957.585194	2023.735603	2078.28644	2109.496044	2003.437904	2167.719816	2279.29182	2392.893914	2357.952915	2438.089914	2752.090769	2708.936431	2847.256842	2901.273521	2974.695973	2943.869788	3052.381937	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Armenia	ARM	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	2722.597731	2689.678999	1962.640982	1195.029107	1045.479739	1050.245824	1219.929834	1509.055289	1308.592318	1307.535698	1297.568273	1269.235623	1236.36366	1320.495751	1440.372831	1521.504841	1639.682271	1772.894892	1669.062175	1661.021455	1726.264557	1807.634701	1893.528	1933.983962	1965.783733	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Aruba	ABW	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
